11/11 21:52:03 INFO file.FileDatabase|infodb: database opened as /Users/Bernard/Downloads/aa-server-10.1.0.1/infodb
11/11 21:52:03 INFO common.BlockingViewerServer|viewer server started at *:4042
11/11 21:52:03 INFO sim.Admin|adding manager for simulation type tac09aa
11/11 21:52:03 INFO server.TACTGateway|TACT Server started at *:6502
11/11 21:52:38 INFO server.TACTChannel|user agentorange logged in as agentorange@tact-1 with version 0.9.6 from 127.0.0.1
11/11 21:52:38 INFO sim.Admin|created simulation 3
11/11 21:53:00 FINE sim.Admin|Entering log for simulation 3
************************************************************
* Entering log for simulation 3
************************************************************


11/11 22:03:00 INFO global|SIMULATIONAGENT Dummy-7 (Dummy-7,-8) IS BEING GARBAGED
11/11 22:03:00 INFO global|SIMULATIONAGENT Dummy-6 (Dummy-6,-7) IS BEING GARBAGED
11/11 22:03:00 INFO global|SIMULATIONAGENT Dummy-5 (Dummy-5,-6) IS BEING GARBAGED
11/11 22:03:00 INFO global|SIMULATIONAGENT Dummy-4 (Dummy-4,-5) IS BEING GARBAGED
11/11 22:03:00 INFO global|SIMULATIONAGENT Dummy-3 (Dummy-3,-4) IS BEING GARBAGED
11/11 22:03:00 INFO global|SIMULATIONAGENT Dummy-2 (Dummy-2,-3) IS BEING GARBAGED
11/11 22:03:00 INFO global|SIMULATIONAGENT Dummy (Dummy,-2) IS BEING GARBAGED
11/11 22:03:00 INFO global|SIMULATIONAGENT agentorange (adv1,11) IS BEING GARBAGED
11/11 22:03:00 INFO global|SIMULATIONAGENT publisher (publisher,-1) IS BEING GARBAGED
11/11 22:03:00 INFO global|PUBLISHER publisher IS BEING GARBAGED
11/11 22:03:00 INFO global|SIMULATIONAGENT users (users,-1) IS BEING GARBAGED
11/11 22:03:00 INFO global|USER users IS BEING GARBAGED
11/11 22:03:00 INFO global|BANK FOR SIMULATION 3 IS BEING GARBAGED
11/11 22:03:00 INFO sim.Simulation|SIMULATION 3 IS BEING GARBAGED
11/11 22:03:00 INFO sim.Admin|created simulation 4
11/11 22:03:05 INFO is.TACAAResultManager|generating results for simulation 3 to public_html/localhost/history/3/index.html
11/11 22:04:00 FINE sim.Admin|Entering log for simulation 4
************************************************************
* Entering log for simulation 4
************************************************************


11/11 22:14:00 INFO global|SIMULATIONAGENT Dummy-7 (Dummy-7,-8) IS BEING GARBAGED
11/11 22:14:00 INFO global|SIMULATIONAGENT Dummy-6 (Dummy-6,-7) IS BEING GARBAGED
11/11 22:14:00 INFO global|SIMULATIONAGENT Dummy-5 (Dummy-5,-6) IS BEING GARBAGED
11/11 22:14:00 INFO global|SIMULATIONAGENT Dummy-4 (Dummy-4,-5) IS BEING GARBAGED
11/11 22:14:00 INFO global|SIMULATIONAGENT Dummy-3 (Dummy-3,-4) IS BEING GARBAGED
11/11 22:14:00 INFO global|SIMULATIONAGENT Dummy-2 (Dummy-2,-3) IS BEING GARBAGED
11/11 22:14:00 INFO global|SIMULATIONAGENT Dummy (Dummy,-2) IS BEING GARBAGED
11/11 22:14:00 INFO global|SIMULATIONAGENT agentorange (adv1,11) IS BEING GARBAGED
11/11 22:14:00 INFO global|SIMULATIONAGENT publisher (publisher,-1) IS BEING GARBAGED
11/11 22:14:00 INFO global|PUBLISHER publisher IS BEING GARBAGED
11/11 22:14:00 INFO global|SIMULATIONAGENT users (users,-1) IS BEING GARBAGED
11/11 22:14:00 INFO global|USER users IS BEING GARBAGED
11/11 22:14:00 INFO global|BANK FOR SIMULATION 4 IS BEING GARBAGED
11/11 22:14:00 INFO sim.Simulation|SIMULATION 4 IS BEING GARBAGED
11/11 22:14:05 INFO is.TACAAResultManager|generating results for simulation 4 to public_html/localhost/history/4/index.html
11/11 22:18:08 INFO server.TACTChannel|user agentorange logged in as agentorange@tact-4 with version 0.9.6 from 127.0.0.1
11/11 22:18:08 INFO sim.Admin|created simulation 5
11/11 22:19:00 FINE sim.Admin|Entering log for simulation 5
************************************************************
* Entering log for simulation 5
************************************************************


