24/11 18:01:31 INFO file.FileDatabase|infodb: database opened as /Users/Bernard/Desktop/cs404/agentorange/aa-server-10.1.0.1/infodb
24/11 18:01:31 INFO common.BlockingViewerServer|viewer server started at *:4042
24/11 18:01:31 INFO sim.Admin|adding manager for simulation type tac09aa
24/11 18:01:31 INFO server.TACTGateway|TACT Server started at *:6502
24/11 18:01:51 INFO server.TACTChannel|user AgentC1 logged in as AgentC1@tact-1 with version 0.9.6 from 127.0.0.1
24/11 18:01:51 INFO sim.Admin|created simulation 11
24/11 18:02:00 FINE sim.Admin|Entering log for simulation 10
************************************************************
* Entering log for simulation 10
************************************************************


24/11 18:12:00 INFO global|SIMULATIONAGENT Dummy (Dummy,-2) IS BEING GARBAGED
24/11 18:12:00 INFO global|SIMULATIONAGENT Dummy-7 (Dummy-7,-8) IS BEING GARBAGED
24/11 18:12:00 INFO global|SIMULATIONAGENT Dummy-6 (Dummy-6,-7) IS BEING GARBAGED
24/11 18:12:00 INFO global|SIMULATIONAGENT Dummy-5 (Dummy-5,-6) IS BEING GARBAGED
24/11 18:12:00 INFO global|SIMULATIONAGENT Dummy-4 (Dummy-4,-5) IS BEING GARBAGED
24/11 18:12:00 INFO global|SIMULATIONAGENT Dummy-3 (Dummy-3,-4) IS BEING GARBAGED
24/11 18:12:00 INFO global|SIMULATIONAGENT Dummy-2 (Dummy-2,-3) IS BEING GARBAGED
24/11 18:12:00 INFO global|SIMULATIONAGENT AgentC1 (adv1,22) IS BEING GARBAGED
24/11 18:12:00 INFO global|SIMULATIONAGENT publisher (publisher,-1) IS BEING GARBAGED
24/11 18:12:00 INFO global|PUBLISHER publisher IS BEING GARBAGED
24/11 18:12:00 INFO global|SIMULATIONAGENT users (users,-1) IS BEING GARBAGED
24/11 18:12:00 INFO global|USER users IS BEING GARBAGED
24/11 18:12:00 INFO global|BANK FOR SIMULATION 10 IS BEING GARBAGED
24/11 18:12:00 INFO sim.Simulation|SIMULATION 10 IS BEING GARBAGED
24/11 18:12:05 SEVERE tact.TACTConnection|tact-2: closed from other side
24/11 18:12:05 SEVERE tact.TACTConnection|AgentC1@tact-1: closed from other side
24/11 18:12:05 INFO is.TACAAResultManager|generating results for simulation 10 to public_html/localhost/history/10/index.html
24/11 18:13:00 FINE sim.Admin|Entering log for simulation 11
************************************************************
* Entering log for simulation 11
************************************************************


